isNitrate,Wavenumber,Processed
0,1568.76,22965
0,1572.25,22910
0,1575.74,22888
0,1579.23,22927
0,1582.72,22901
0,1586.2,22853
0,1589.68,22838
0,1593.16,22647
0,1596.63,22578
0,1600.11,22460
0,1603.58,22244
0,1607.05,21974
0,1610.51,21747
0,1613.98,21584
0,1617.44,21335
0,1620.9,21063
0,1624.35,20936
0,1627.81,20678
0,1631.26,20617
0,1634.71,20435
0,1638.16,20378
0,1641.6,20424
0,1645.04,20368
0,1648.48,20322
0,1651.92,20251
0,1655.36,20148
0,1658.79,20026
0,1662.22,19896
0,1665.65,19854
0,1669.07,19654
0,1672.49,19428
0,1675.91,19167
0,1679.33,18885
0,1682.75,18673
0,1686.16,18388
0,1689.57,18195
0,1692.98,17976
0,1696.39,17687
0,1699.79,17555
0,1703.19,17494
0,1706.59,17327
0,1709.99,17253
0,1713.38,17209
0,1716.77,17150
0,1720.16,17121
0,1723.55,17113
0,1726.93,16928
0,1730.32,16989
0,1733.69,16898
0,1737.07,16725
0,1740.45,16665
0,1743.82,16488
0,1747.19,16302
0,1750.56,16277
0,1753.92,16126
0,1757.29,15900
0,1760.65,15755
0,1764,15695
0,1767.36,15474
0,1770.71,15455
0,1774.06,15341
0,1777.41,15370
0,1780.76,15379
0,1784.1,15313
0,1787.44,15448
0,1790.78,15499
0,1794.12,15516
0,1797.45,15549
0,1800.79,15647
0,1804.12,15700
0,1807.44,15681
0,1810.77,15702
0,1814.09,15734
0,1817.41,15687
0,1820.73,15649
0,1824.04,15520
0,1827.36,15521
0,1830.67,15366
0,1833.98,15249
0,1837.28,15237
0,1840.58,15108
0,1843.89,15114
0,1847.18,15032
0,1850.48,15013
0,1853.77,14998
0,1857.07,15020
0,1860.36,15117
0,1863.64,15102
0,1866.93,15032
0,1870.21,15068
0,1873.49,15037
0,1876.77,15020
0,1880.04,14954
0,1883.31,14931
0,1886.58,14831
0,1889.85,14603
0,1893.12,14411
0,1896.38,14215
0,1899.64,14024
0,1902.9,13778
0,1906.16,13616
0,1909.41,13359
0,1912.66,13183
0,1915.91,12982
0,1919.16,12869
0,1922.4,12706
0,1925.64,12549
0,1928.88,12389
0,1932.12,12288
0,1935.36,12238
0,1938.59,11996
0,1941.82,11921
0,1945.05,11698
0,1948.27,11573
0,1951.5,11343
0,1954.72,11182
0,1957.93,10944
0,1961.15,10652
0,1964.36,10466
0,1967.58,10219
0,1970.79,10001
0,1973.99,9739
0,1977.2,9453
0,1980.4,9189
0,1983.6,9054
0,1986.8,8774
0,1989.99,8580
0,1993.18,8377
0,1996.37,8241
0,1999.56,8040
0,2002.75,7966
0,2005.93,7772
0,2009.11,7713
0,2012.29,7590
0,2015.47,7504
0,2018.64,7358
0,2021.81,7288
0,2024.98,7070
0,2028.15,6988
0,2031.31,6894
0,2034.48,6791
0,2037.64,6649
0,2040.8,6504
0,2043.95,6343
0,2047.1,6259
0,2050.25,6098
0,2053.4,6062
0,2056.55,5942
0,2059.69,5794
0,2062.83,5744
0,2065.97,5623
0,2069.11,5553
0,2072.25,5515
0,2075.38,5486
0,2078.51,5425
0,2081.64,5395
0,2084.76,5356
0,2087.88,5327
0,2091,5298
0,2094.12,5207
0,2097.24,5160
0,2100.35,5107
0,2103.46,5042
0,2106.57,5014
0,2109.68,4943
0,2112.79,4864
0,2115.89,4780
0,2118.99,4716
0,2122.09,4685
0,2125.18,4621
0,2128.27,4535
0,2131.36,4530
0,2134.45,4493
0,2137.54,4425
0,2140.62,4412
0,2143.7,4352
0,2146.78,4347
0,2149.86,4305
0,2152.94,4317
0,2156.01,4235
0,2159.08,4211
0,2162.15,4211
0,2165.21,4171
0,2168.28,4190
0,2171.34,4154
0,2174.39,4110
0,2177.45,4106
0,2180.51,4051
0,2183.56,4032
0,2186.61,4055
0,2189.65,3962
0,2192.7,3936
0,2195.74,3915
0,2198.78,3902
0,2201.82,3843
0,2204.86,3812
0,2207.89,3783
0,2210.92,3750
0,2213.95,3714
0,2216.98,3694
0,2220,3664
0,2223.02,3643
0,2226.04,3638
0,2229.06,3589
0,2232.08,3551
0,2235.09,3522
0,2238.1,3535
0,2241.11,3493
0,2244.12,3469
0,2247.12,3489
0,2250.12,3466
0,2253.12,3461
0,2256.12,3447
0,2259.11,3400
0,2262.11,3398
0,2265.1,3355
0,2268.09,3350
0,2271.07,3300
0,2274.06,3283
0,2277.04,3260
0,2280.02,3230
0,2282.99,3227
0,2285.97,3162
0,2288.94,3172
0,2291.91,3138
0,2294.88,3114
0,2297.84,3129
0,2300.81,3123
0,2303.77,3106
0,2306.73,3117
0,2309.68,3125
0,2312.64,3066
0,2315.59,3026
0,2318.54,3034
0,2321.49,3028
0,2324.43,3030
0,2327.38,3032
0,2330.32,3019
0,2333.26,2969
0,2336.19,2983
0,2339.13,2961
0,2342.06,2933
0,2344.99,2901
0,2347.92,2878
0,2350.84,2840
0,2353.77,2825
0,2356.69,2815
0,2359.61,2764
0,2362.52,2751
0,2365.44,2751
